Register #,Annual DFO # (discontinued),Glide #,Country,Other,Nations, Affected,Detailed Locations (click on active links to access inundation extents),Validation (post event #3503),Began,Ended,Duration in Days,Dead,Displaced,Damage (USD),Main cause,Severity *,Affected sq km,Magnitude (M)**,Centroid X,Centroid Y,"""News"" if validated",M>6,Total annual floods M>6,M>4,Total annual floods M>4,Date Began,Total floods M>6,Total floods M>4,,,,
3993,,,Iran,,#N/A,#N/A,"Behshahr, Mazandaran province; Sari, Qaemshahr and Babol as well as outlying rural areas",News,10/12/2012,10/15/2012,4,7,1000,,Torrential Rain,1.5,11490.12,4.83847581476085,54.2681,36.5397,News,0,34,1,103,10/12/2012,1005,3465,,,,
3992,,,Somalia,,#N/A,#N/A,Central Somalia’s Hiiraan Region, Shabelle River,News,09/22/2012,10/03/2012,12,6,12200,,Heavy Rain,1.5,13753.99,5.39370120935052,44.8967,4.94456,News,0,34,1,102,09/22/2012,1005,,,,
3991,,,South Sudan,Sudan,#N/A,#N/A,"Unity State; areas near state capital Bentiu; nine of South Sudan's 10 states;  Jonglei, Lakes, Northern Bahr el Ghazal, Unity and Upper Nile",News,09/07/2012,10/03/2012,27,15,3000,,Heavy Rain,1,138743.9,6.57357766222703,29.586,9.56942,News,1,34,1,101,09/07/2012,1005,3463,,,,
3990,,,UK,,#N/A,#N/A,Northern England,  Pennine and Cheviot catchments,News,09/23/2012,09/26/2012,4,0,1500,,Heavy Rain,1,8507,4.53183642413286,-2.13086,54.4062,News,0,33,1,100,09/23/2012,1004,,,,
3989,,,USA,,#N/A,#N/A,Alaska,  Talkeetna, south along Kenai River,News,09/20/2012,09/26/2012,7,0,2000,,Heavy Rain,1,8846.21,4.79185528487812,-149.932,63.1691,News,0,33,1,99,09/20/2012,,,"September 26, 2012: ""ANCHORAGE, Alaska (AP) -- Floodwaters receded Saturday from much of the tourist town of Talkeetna, giving residents a chance to begin cleaning the muddy mess left behind -- but officials warned that the danger hadn't passed and advised that people boil their water.
About 200 miles south, in Cooper Landing on the Kenai Peninsula, the Kenai River had yet to crest and the National Weather Service extended a flood warning until Monday afternoon saying that the river will continue rising. Residents of one subdivision were told to be ready to evacuate.
Forecasters said rain would continue falling Sunday, making it tough to predict how high waterways would rise on the peninsula and when they'll crest.
The outlook seemed a bit better in Talkeetna. Rivers and streams draining from the Talkeetna Mountains had crested and water levels fell steadily Friday night, the weather service said. Meteorologists said they don't expect rainfall to significantly increase river levels there, but a flood warning remained in effect for the area as many waterways remained above flood stage.
The Talkeetna River crested at 15.65 feet on Friday, just below the level considered major flooding. It had receded to 12.5 feet by Saturday afternoon, just above the 12-foot flood mark. Only two streets in Talkeetna remained flooded, the Anchorage Daily News reported (http://bit.ly/UDvlWG).
Talkeetna is the last stop for climbers heading to Mount McKinley, North America's tallest mountain. It also has an eclectic population, and has long been purported to be the inspiration for the Alaska town in the TV series, ""Northern Exposure.""
Longtime residents told the Daily News that flooding was the worst they'd seen in more than 30 years. Still, emergency responders said it could've been worse.
""Luckily, we didn't have any buildings float away,"" said Mike Krepel, who runs the Talkeetna Historical Society Museum with his wife, Jenny.
Krepel used a large pump to drain the museum's flooded first floor.
""It blew its way in pretty quick,"" Krepel said. ""We don't think we lost anything important, but we were going pretty hard for several hours.""
Flooding has caused problems over a wide swath of Alaska this week, from Talkeetna to the port town of Seward, 175 miles to the south.
Department of Transportation crews have been working to protect several bridges on the Glenn Highway from fast-moving water. The road is one of two land routes out of populated areas in Anchorage and Wasilla, and the only one in southern Alaska.
The Alaska Railroad was closed through Wednesday as crews repair tracks and bridges, including a 500-foot stretch that was left dangling when the ground beneath it washed out about 35 miles north of Talkeetna.
The American Red Cross of Alaska has opened three shelters in recent days, and a fourth was opened Saturday at the state fairgrounds in Palmer, about 40 miles northeast of Anchorage, where evacuees could park recreational vehicles.
Gov. Sean Parnell declared a state disaster Friday for communities hard-hit by recent storms. The declaration covers the Kenai Peninsula Borough, which includes Seward, and the Matanuska-Susitna Borough, which includes Talkeetna, Wasilla and several other towns, the governor's office said.
It was too soon to estimate damage and no injuries have been reported.
""We're just waiting for the next storm to come in, and then we'll start the rodeo all over again,"" said Vickilee Fenster, a spokeswoman for the Mat-Su Borough's Emergency Operations Center""",
3988,,,Nigeria,,#N/A,#N/A,"Delta State; Niger River; Oko community; Benue and Kaduna states, Taraba, much of Nigeria is affected",News,09/15/2012,10/29/2012,45,148,64000,,Heavy Rain,2,12538.4,6.05248463002456,6.33994,5.50441,News,1,33,1,98,09/15/2012,1004,3460,,,,
3987,,,India,,#N/A,#N/A,"Assam, northeastern India",News,09/19/2012,10/15/2012,27,21,2000000,,Monsoonal Rain,2,42597.57,6.36177858508316,93.6379,26.8031,News,1,32,1,97,09/19/2012,1003,3459,,,,
3986,,,China,,#N/A,#N/A,Central Sichuan city of Suinin, other areas in Sichuan,News,09/09/2012,09/18/2012,10,7,0,,Heavy Rain,1.5,56959.95,5.93166085845671,107.186,30.3813,News,0,31,1,96,09/09/2012,1002,,,,
3985,,,Thailand,,#N/A,#N/A,Northern province Sukhothai,News,09/12/2012,09/26/2012,15,0,3000,,Monsoonal Rain,1,44011.3,5.81965545594146,99.6405,17.0909,News,0,31,1,95,09/12/2012,1002,3457,,,,
3984,,,Pakistan,,#N/A,#N/A,"Naseerabad and Jaffarabad districts, Baluchistan",News,09/10/2012,10/29/2012,50,400,742000,,Monsoonal Rain,1.5,23036.11,6.23747040705921,68.7756,28.0445,News,1,31,1,94,09/10/2012,1002,3456,,,,
3983,,,India,,#N/A,#N/A,Uttarakhand state,News,09/16/2012,09/18/2012,3,45,200,,Torrential Rain,2,37710.76,5.35461653538752,76.8569,31.3063,News,0,30,1,93,09/16/2012,1001,3455,,,,
3982,,,The Gambia,,#N/A,#N/A,"Pakau Njogu in the North Bank Region, and many other in Jarra Soma, in the Lower River Region",News,09/02/2012,09/07/2012,6,0,41,,Heavy Rain,1,4747.33,4.4546006721584,-16.1515,13.4093,News,0,30,1,92,09/02/2012,1001,3454,,,,
3981,,,Kenya,,#N/A,#N/A,Portions of Rift Valley Province,News,08/15/2012,09/07/2012,24,0,3000,,Heavy Rain,1,18459.66,5.64643493940455,35.8295,1.36637,News,0,30,1,91,08/15/2012,1001,3453,,,,
3980,,,Uganda,,#N/A,#N/A,"Acholi districts of Agago, Kitgum, Lamwo and Pader, northern Uganda",News,08/20/2012,09/07/2012,19,0,15000,,Heavy Rain,1,57981.45,6.04204267294326,32.726,2.65647,News,1,30,1,90,08/20/2012,1001,3452,,,,
3979,,TC-2012-000159-PRK,North Korea,South Korea,#N/A,#N/A,"North Hwanghae Province,  South Phyongan Province, South Hwanghae Province",News,08/17/2012,09/07/2012,22,59,24000,,Tropical Storms,1.5,24179.42,5.90195981895762,126.246,38.1949,News,0,29,1,89,08/17/2012,1000,3451,,,,
3978,,FL-2012-000161-VNM,Vietnam,,#N/A,#N/A,"Nghe An, Ha Tinh, and Thanh Hoa; northcentral region",News,09/02/2012,09/07/2012,6,6,5000,,Torrential Rain,1,16825.58,5.00412129424298,105.458,19.0626,News,0,29,1,88,09/02/2012,1000,3450,,,,
3977,,,USA,,#N/A,#N/A,Southern Mississippi and Louisiana,News,08/28/2012,09/07/2012,11,1,60000,,Hurricane Isaac,1.5,83938.23,6.14144375124642,-89.346,30.503,News,1,29,1,87,08/28/2012,1000,3449,,,,
3976,,,Nigeria,Camaroun,#N/A,#N/A,"Adamawa state, eastern Nigeria; Kogi state",News,08/25/2012,09/26/2012,33,127,20000,,Heavy Rain,1.5,96830.55,6.6806175975976,12.1089,9.30166,News,1,28,1,86,08/25/2012,999,3448,,,,
3975,,,China,,#N/A,#N/A,Ningxia Hui Autonomous Region,News,08/25/2012,08/29/2012,5,6,30,,Torrential Rain,1.5,45130.63,5.52953265947807,106.115,37.3916,News,0,27,1,85,08/25/2012,998,3447,,,,
3974,,FF-2012-000148-PAK,Pakistan,,#N/A,#N/A,Pakistan-administered Kashmir, Khyber Pakhtunkhwa,News,08/23/2012,08/29/2012,7,26,1200,,Monsoonal Rain,1.5,98264.36,6.01358532898814,73.5222,35.0305,News,1,27,1,84,08/23/2012,998,,,,
3973,,TC-2012-000152-HTI,Haiti,,#N/A,#N/A,"Port-au-Prince, other areas",News,08/25/2012,08/29/2012,5,19,15000,,Tropical Storm Isaac,1.5,4904.1,4.56562058073513,-72.2827,19.1356,News,0,26,1,83,08/25/2012,997,3445,,,,
3972,,,Nigeria,,#N/A,#N/A,"Katsina State; four local governmental areas; Bosso and Zunguru, Niger state",News,08/24/2012,08/29/2012,6,10,20000,,Torrential Rain,1.5,48922.93,5.64375496852979,4.12488,14.316,News,0,26,1,82,08/24/2012,997,3444,,,,
3971,,,Senegal,,#N/A,#N/A,"Dakar, major cities in interior",News,08/24/2012,08/29/2012,6,4,1200,,Torrential Rain,1.5,79242.7,5.85320177407368,-15.4943,14.462,News,0,26,1,81,08/24/2012,997,3443,,,,
3970,,,Myanmar,,#N/A,#N/A,"Kawkareik, Kyain Seikgyi, Hpa-an townships; Karen State, Salaween River; Irrawaddy Region, Darka River",News,07/15/2012,08/29/2012,46,0,85000,,Monsoonal Rain,1,219814.61,7.00481438615446,97.8535,16.5919,News,1,26,1,80,07/15/2012,997,3442,,,,
3969,,FL-000139-JPN,Japan,,#N/A,#N/A,"Western Japanese region of Kansai; Uji, Kyoto Prefecture",News,08/12/2012,08/20/2012,9,3,1000,,Torrential Rain,1.5,10669.97,5.15849696684611,135.556,34.6167,News,0,25,1,79,08/12/2012,996,3441,,,,
3968,,FL-2012-000150-SDN,South Sudan,Sudan,#N/A,#N/A,"Jonglei's capital, Bor, and surrounding area; all three states, Sudan",News,08/01/2012,08/29/2012,29,32,154000,,Heavy Rain,1.5,456058.52,7.29750983050159,30.2188,9.69113,News,1,25,1,78,08/01/2012,996,3440,,,,
3967,,,Niger,,#N/A,#N/A,"Niamey,  Niger River, Banga Banda, Dossa Region, other locations",News,08/06/2012,09/07/2012,33,52,125000,,Heavy Rain,1.5,75976.73,6.57528579673984,3.88146,14.6081,News,1,24,1,77,08/06/2012,995,3439,,,,
3966,,,India,,#N/A,#N/A,"Chhattisgarh, Bastar division,  Doodh River",News,08/16/2012,08/20/2012,5,1,210,,Monsoonal Rain,1,29689.98,5.17157990937927,82.7962,20.9855,News,0,23,1,76,08/16/2012,994,3438,,,,
3965,,,China,,#N/A,#N/A,"Southwest China's Sichuan province; Chengdu, Mianyang, Deyang cities",News,08/14/2012,08/20/2012,7,13,14600,,Monsoonal Rain,1,107983.97,5.87845733015632,103.73,31.1602,News,0,23,1,75,08/14/2012,994,3437,,,,
3964,,,Nigeria,,#N/A,#N/A,Mambilla Plateau in Sardauna local government area of Taraba State,News,08/02/2012,08/06/2012,5,0,3000,,Torrential Rain,1.5,16652.25,5.09653418571246,11.2812,7.42738,News,0,23,1,74,08/02/2012,994,3436,,,,
3963,,,China,,#N/A,#N/A,Northeast China,  Jiangsu and Shandong provinces,News,08/03/2012,08/06/2012,4,2,800000,,Typhoons  Damrey and Saola,2,9559.89,4.88354288212705,122.594,40.5195,News,0,23,1,73,08/03/2012,994,,,,
3962,,,Scotland,,#N/A,#N/A,Southern Scotland,News,08/04/2012,08/06/2012,3,0,0,,Torrential Rain,1,4260.88,4.10662055797159,-2.59334,55.5746,News,0,23,1,72,08/04/2012,994,3434,,,,
3961,,,Sudan,,#N/A,#N/A,Central Darfur and el- Geneina,News,08/04/2012,08/06/2012,3,5,800,,Torrential Rain,1.5,89290.09,5.60401577448761,22.6608,13.6223,News,0,23,1,71,08/04/2012,994,3433,,,,
3960,,,India,,#N/A,#N/A,"Orissa, Odisha's Kalahandi district",News,08/03/2012,08/06/2012,4,0,2000,,Monsoonal Rain,1,35689.54,5.15460094172831,82.3216,19.4398,News,0,23,1,70,08/03/2012,994,3432,,,,
3959,,,India,,#N/A,#N/A,Uttarakhand,News,08/04/2012,08/06/2012,3,30,1200,,Torrential Rain,1.5,31390.53,5.15001116219702,78.8529,30.1135,News,0,23,1,69,08/04/2012,994,3431,,,,
3958,,,China,,#N/A,#N/A,Flood prone areas of Yellow river in Shanxi and Shaanxi provinces,News,07/25/2012,07/30/2012,6,0,40000,,Heavy Rain,1.5,100600.98,5.95684472084034,110.85,34.7959,News,0,23,1,68,07/25/2012,994,3430,,,,
3957,,,Costa Rica,,#N/A,#N/A,Central  and eastern Costa Rica,News,07/28/2012,07/30/2012,3,1,1500,,Heavy Rain,1,20820.98,4.79562242170858,-81.1113,8.79605,News,0,23,1,67,07/28/2012,994,3429,,,,
3956,,,Philippines,,#N/A,#N/A,Central  and northern portions of the country, Manila, southern province of Maguindanao,News,07/28/2012,08/06/2012,10,3,13000,,Tropical Storm Saola,1.5,59723.23,5.95223454660905,121.037,15.9469,News,0,23,1,66,07/28/2012,,,"August 5, 2012: ""MANILA: The death toll from week-long floods in the Philippines caused by a typhoon has risen to 45, with nine more bodies recovered in the past 48 hours, authorities said on Sunday.Monsoon rains continued to pound large parts of the country while some areas in Manila and surrounding towns remained knee-deep in floodwater, the civil defence office said.Typhoon Saola did not hit the Philippines directly but passed near its northeast, causing storm surges from Manila Bay that swamped parts of the capital.It also toppled power lines and damaged many roads and bridges.After wreaking havoc on the Philippines, the typhoon blew into Taiwan late last week, where it killed at least six people.."".July30, 2012: ""Three people have died in flooding caused by tropical storm Saola in the central Philippines.Torrential rain brought on by the storm and the south-west monsoon have caused more flooding and landslides in the central and northern parts of the country.Landslides have been reported in the mountainous Cordillera region while flood waters have swamped communities in the capital Manila and several nearby provinces.Nearly 13,000 people were evacuated in Manila on Monday, with rain causing three major dams to spill over on Sunday night.In the country's northern and central provinces, five ships have run aground with rescue operations ongoing to bring passengers ashore.
Over the weekend, rain blanketed most of the Philippines, forcing the cancellation of at least 15 domestic flights.The storm was over the Philippine Sea by late afternoon Monday, 260 kilometres off the northernmost Batanes islands and heading slowly towards Taiwan""Print Email Facebook Twitter MoreCyclone floods 20 villages in PhilippinesBy Shirley Escalante in ManilaPosted July 29, 2012 17:45:06MAP: Philippines. A tropical cyclone in the southern Philippines has caused flooding in up to 20 villages.Dozens of families have been evacuated in the southern province of Maguindanao because of heavy flooding caused by torrential rains from Cyclone Saola.A passenger ship ran aground in the central province of Cebu, but the nearly 200 passengers and crew have been rescued.Rains have blanketed most of the Philippines over the weekend, forcing the cancellation of at least thirteen domestic flights on Sunday.With winds of up to 100 kilometres an hour, Cyclone Soala is now moving north-west towards Taiwan and China",
3955,,,North Korea,,#N/A,#N/A," North and South Phyongan provinces, many other areas in the country",News,07/20/2012,08/06/2012,18,169,63000,,Heavy Rain,2,33081.58,6.07588874435925,126.027,38.7791,News,1,23,1,65,07/20/2012,994,3427,,,,
3954,,,Nigeria,,#N/A,#N/A,Plateau state, Jos,News,07/22/2012,07/25/2012,4,50,2000,,Heavy Rain,1.5,45292.27,5.43417533798576,8.0195,10.5918,News,0,22,1,64,07/22/2012,993,,,,
3953,,,Philippines,,#N/A,#N/A,Manila and environs,News,07/21/2012,07/23/2012,3,8,0,,Monoonal Rain,1.5,9576.58,4.63442295476304,121.195,15.2044,News,0,22,1,63,07/21/2012,993,3425,,,,
3952,,,Indonesia,,#N/A,#N/A," Gorontalo, Sulawesi",News,07/20/2012,07/23/2012,4,0,586,,Torrential Rain,1,8218.79,4.51686787516924,122.436,0.782182,News,0,22,1,62,07/20/2012,993,3424,,,,
3951,,FF-2012-000120-GEO,Georgia,,#N/A,#N/A,"Southern and eastern Georgia; Gurjaani, Lagodekhi and Telavi municipalities of Kakheti Region, Akhaltsikhe (incl. Vale town), Adigeni and Aspindza municipalities of the Samtskhe-Javakheti Region and Bulachauri village in Dusheti district of the Mtskheta-Mtianeti Region",News,07/19/2012,07/23/2012,5,0,0,,Torrential Rain,1,19591.01,4.99102683063804,44.8967,41.7,News,0,22,1,61,07/19/2012,993,3423,,,,
3950,,,China,,#N/A,#N/A,Beijing,News,07/21/2012,07/25/2012,5,77,0,,Torrential Rain,2,29832.3,5.47468673773356,117.702,42.3329,News,0,22,1,60,07/21/2012,993,3422,,,,
3949,,,China,,#N/A,#N/A,Hubei,News,07/09/2012,07/25/2012,17,58,140000,,Monsoonal Rain,1.5,92141.11,6.37099362021486,113.04,31.4158,News,1,22,1,59,07/09/2012,993,3421,,,,
3948,,,USA,,#N/A,#N/A,"Southern Texas, Houston area (north suburbs)",News,07/13/2012,07/16/2012,4,0,100,,Torrential Rain,1.5,24530.67,5.16786066052762,-95.8087,29.578,News,0,21,1,58,07/13/2012,992,3420,,,,
3947,,FL-2012-000114-JPN,Japan,,#N/A,#N/A,"Fukuoka Prefecture; Oita, Kumamoto and Fukuoka prefectures, Kyushu Island",News,07/04/2012,07/16/2012,13,28,3000,,Heavy Rain,2,7922.95,5.31386026316882,130.566,33.424,News,0,21,1,57,07/04/2012,992,3419,,,,
3946,,,Azerbaijan,,#N/A,#N/A, Lowland regions of Azerbaijan.,News,07/08/2012,07/09/2012,2,0,400,,Heavy Rain,1.5,9902.76,4.47287750848046,28.8071,46.8848,News,0,21,1,56,07/08/2012,992,3418,,,,
3945,,,India,,#N/A,#N/A,Bihar's Saharsa and Supaul districts.,News,07/04/2012,07/23/2012,20,9,1500,,Monsoonal Rain,1,2638.64,4.72241013742687,86.557,26.1094,News,0,21,1,55,07/04/2012,992,3417,,,,
3944,,,Turkey,,#N/A,#N/A,Northern Province of Samsun,News,07/03/2012,07/09/2012,7,10,0,,Torrential Rain,1.5,6084.92,4.80544417189289,36.7667,41.0185,News,0,21,1,54,07/03/2012,992,3416,,,,
3943,,FF-2012-000115-RUS,Russia,,#N/A,#N/A,Southern Krasnodar Region.,News,07/06/2012,07/16/2012,11,171,24000,,Torrential Rain,2,18552.42,5.6108232483634,38.5436,44.8644,News,0,21,1,53,07/06/2012,992,3415,,,,
3942,,,China,,#N/A,#N/A,"Inner Mongolia, Zhejiang, Fujian, Jiangxi, Hubei, Hunan, Guangdong, Guangxi, Chongqing, Sichuan and Guizhou.",News,06/22/2012,07/02/2012,11,50,120000,,Monsoonal Rain,1.5,2643786.56,7.6397103346811,106.943,33.4553,News,1,21,1,52,06/22/2012,992,3414,,,,
3941,,,Afghanistan,,#N/A,#N/A,Western province of Ghor,News,06/23/2012,06/26/2012,4,0,24,,Torrential Rain,1.5,71504.75,5.63248614295772,65.0555,33.6249,News,0,20,1,51,06/23/2012,991,3413,,,,
3940,,,Canada,,#N/A,#N/A,Interior British Columbia,News,06/20/2012,06/26/2012,7,1,700,,Heavy Rain and Snowmelt,1.5,213387.37,6.35035800983959,-122.811,53.8526,News,1,20,1,50,06/20/2012,991,3412,,,,
3939,,,Bangladesh,,#N/A,#N/A,Chittagong and  Bandarban districts,News,06/24/2012,07/02/2012,9,106,102000,,Monsoonal Rain,1.5,9560.29,5.11080483477629,92.0988,22.1723,News,0,19,1,49,06/24/2012,990,3411,,,,
3938,,,USA,,#N/A,#N/A,Central Florida and Florida Panhandle,News,06/22/2012,07/02/2012,11,3,17000,,Tropical Storm Debby,2,67994.98,6.17489953119349,-82.4958,28.9635,News,1,19,1,48,06/22/2012,990,3410,,,,
3937,,,USA,,#N/A,#N/A,Florida Panhandle,News,06/09/2012,06/12/2012,4,1,300,,Torrential Rain,1.5,20116.97,5.08171381864746,-85.5123,30.3632,News,0,18,1,47,06/09/2012,989,3409,,,,
3936,,,Taiwan,,#N/A,#N/A,Across Taiwan including Taipei,News,06/09/2012,06/12/2012,4,4,3000,,Torrential Rain,1.5,18940.52,5.05554314849496,120.939,24.0587,News,0,18,1,46,06/09/2012,989,3408,,,,
3935,,,Philippines,,#N/A,#N/A,"Southern Philippines; Sarangani, North Cotabato, Maguindanao and Sultan Kudarat province",News,06/08/2012,06/12/2012,5,1,700,,Heavy Rain,1,23515.69,5.07032773072223,124.785,6.87373,News,0,18,1,45,06/08/2012,989,3407,,,,
3934,,,India,,#N/A,#N/A,"Lakhimpur, Darrang, Hailakandi, Sonitpur, Dhemaji, Udalguri and Nagaon districts, Assam; Arunachal Pradesh",News,06/06/2012,07/16/2012,41,109,400000,,Monsoonal Rain,1.5,29190.16,6.25411159126794,92.4354,26.5659,News,1,18,1,44,06/06/2012,989,3406,,,,
3933,,,Canada,,#N/A,#N/A,"Throughout Yukon, parts of NWT and BC",News,06/06/2012,06/12/2012,7,0,0,,Heavy Rain,1,673741.48,6.67359132624262,-132.089,61.4228,News,1,17,1,43,06/06/2012,988,3405,,,,
3932,,FL-2012-000083-HND,Honduras,,#N/A,#N/A,"Trojes, region of El Paraiso",News,05/22/2012,05/29/2012,8,0,500,,Heavy Rain,1,6519.13,4.71727962851989,-86.5954,14.1478,News,0,16,1,42,05/22/2012,987,3404,,,,
3931,,,Russia,,#N/A,#N/A,Srednekolymsk, Kolyma River,News,05/20/2012,05/29/2012,10,0,1000,,Heavy Rain,1.5,22717.12,5.53244453119199,157.95,68.0009,News,0,16,1,41,05/20/2012,987,,,,
3930,,,Uganda,,#N/A,#N/A,Butaleja district,News,05/20/2012,05/29/2012,10,0,3000,,Heavy Rain,1,43315.84,5.63664674084809,33.3224,1.00099,News,0,16,1,40,05/20/2012,987,3402,,,,
3929,,,Afghanistan,,#N/A,#N/A,Northern Afghan province of Takha,News,05/12/2012,05/16/2012,5,20,0,,Torrential Rain,1,14162.67,4.85011514024322,70.0048,37.0528,News,0,16,1,39,05/12/2012,987,3401,,,,
3928,,FF-2012-000079-GEO,Georgia,,#N/A,#N/A,Tbilsi,News,05/12/2012,05/16/2012,5,5,1400,,Torrential Rain,1,15849.06,4.8989735138602,44.5194,42.0681,News,0,16,1,38,05/12/2012,987,3400,,,,
3927,,,Tanzania,,#N/A,#N/A,"Muleba district, Kagera Region",News,05/13/2012,05/16/2012,4,0,300,,Heavy Rain,1,45092.49,5.25616420896769,30.7909,-2.41184,News,0,16,1,37,05/13/2012,987,3399,,,,
3926,,,China,,#N/A,#N/A,"Hunan, Gansu provinces",News,05/08/2012,05/16/2012,9,53,185000,,Heavy Rain,1.5,1056107.69,7.15404197342403,106.493,32.4515,News,1,16,1,36,05/08/2012,987,3398,,,,
3925,,,Brazil,,#N/A,#N/A, Rio Solimoes,News,05/01/2012,05/07/2012,7,0,3000,,Heavy Rain,2,127883.42,6.25294227781704,-62.0228,-3.64908,News,1,15,1,35,05/01/2012,986,3397,,,,
3924,,,Afghanistan,,#N/A,#N/A,"Several districts of Sar-e-Pol Province, northern Afghanistan",News,05/01/2012,05/07/2012,7,26,0,,Torrential Rain,1.5,21754.66,5.35874159923475,64.1872,34.2696,News,0,14,1,34,05/01/2012,985,3396,,,,
3923,,FL-2012-000071-NPL,Nepal,,#N/A,#N/A,Seti river in Kaski district in western Nepal ,News,05/05/2012,05/07/2012,3,17,0,,Avalance Breach,2,4395.45,4.42115459452892,83.8307,28.524,News,0,14,1,33,05/05/2012,985,3395,,,,
3922,,,Columbia,,#N/A,#N/A,Central Colombian region of Soacha,News,04/20/2012,04/26/2012,7,17,56000,,Heavy Rain,1.5,74036.01,5.89063230448204,-73.0738,3.606,News,0,14,1,32,04/20/2012,985,3394,,,,
3921,,,Kenya,,#N/A,#N/A,Nyanza Province,News,04/20/2012,05/16/2012,27,56,0,,Torrential Rain,1.5,12660.17,5.7098945606153,35.0189,-0.191962,News,0,14,1,31,04/20/2012,985,3393,,,,
3920,,,Saudi Arabia,Oman,#N/A,#N/A,Western regions,News,04/14/2012,04/18/2012,5,19,0,,Torrential Rain,1.5,233126.25,6.24265244119496,51.0064,20.5946,News,1,14,1,30,04/14/2012,985,3392,,,,
3919,,FL-2012-000056-PRY,Paraguay,Argentina,#N/A,#N/A,Southwestern regions,News,04/05/2012,04/26/2012,22,2,5000,,Torrential Rain,1.5,120344.81,6.59894130547387,-59.2722,-23.6467,News,1,13,1,29,04/05/2012,984,3391,,,,
3918,,,Rwanda,,#N/A,#N/A,Northern and western provinces,News,04/09/2012,04/18/2012,10,2,300,,Heavy Rain,1,43617.54,5.6396611680159,29.3596,-1.40095,News,0,12,1,28,04/09/2012,983,3390,,,,
3917,,,Kenya,,#N/A,#N/A,"Taveta District, Kenya",News,04/09/2012,04/26/2012,18,0,50,,Heavy Rain,1,117773.22,6.32631905422653,36.2141,-2.44123,News,1,12,1,27,04/09/2012,983,3389,,,,
3916,,FL-2012-000063-RUS,Russia,,#N/A,#N/A,"Central, Volga, and Southern federal districts; Republic of Tatarstan, and Saratov and Samara regions",News,04/08/2012,04/26/2012,19,0,2600,,Snowmelt,1,681012.64,7.11190877370454,40.2645,55.6236,News,1,11,1,26,04/08/2012,982,3388,,,,
3915,,,Haiti,Dominican Republic,#N/A,#N/A,North and northwestern part of the country,News,04/08/2012,04/26/2012,19,9,11000,,Heavy Rain,1.5,35151.93,6.00079403475097,-72.5821,19.4433,News,1,10,1,25,04/08/2012,981,3387,,,,
3914,,,Philippines,,#N/A,#N/A,"Catanduanes, Albay, Camarines Sur and Camarines Norte provinces.",News,03/26/2012,03/30/2012,5,4,0,,Torrential Rain,1,5045.75,4.40189573321473,123.278,13.6288,News,0,9,1,24,03/26/2012,980,3386,,,,
3913,,,Canada,,#N/A,#N/A,Western New Brunswick,News,03/25/2012,03/30/2012,6,0,500,,Snowmelt,1.5,5440.53,4.68988371885506,-67.4996,46.5994,News,0,9,1,23,03/25/2012,980,3385,,,,
3912,,,Fiji,,#N/A,#N/A,Western Division,News,03/29/2012,04/18/2012,21,6,14000,,Heavy Rain,2,5579.97,5.36988115441263,178.017,-17.7982,News,0,9,1,22,03/29/2012,980,3384,,,,
3911,,,Chile,,#N/A,#N/A,Southern region of Magallanes and Antarctica, northern region of Arica-Parinacot,News,03/01/2012,03/15/2012,15,0,1000,,Heavy Rain,1.5,88870.6,6.30094063038056,-69.408,-52.8256,News,1,9,1,21,03/01/2012,980,,,,
3910,,,Ecuador,,#N/A,#N/A,Including western Manabi Province,News,03/01/2012,03/26/2012,26,10,4700,,Heavy Rain,1.5,39793.06,6.19087194376065,-79.4951,-0.5987,News,1,8,1,20,03/01/2012,979,3382,,,,
3909,,,Madagascar,Mozambique,#N/A,#N/A,Southeastern portions, other regions,News,03/03/2012,03/07/2012,5,65,0,,Tropical Storm Irina,1.5,566733.66,6.62844027084198,46.9438,-18.9673,News,1,7,1,19,03/03/2012,978,,,,
3908,,,Tanzania,,#N/A,#N/A,"Ngorongoro District, Arusha Region",News,03/01/2012,03/07/2012,7,10,0,,Heavy Rain,1,6851.66,4.68089384384254,34.7926,-1.83097,News,0,6,1,18,03/01/2012,977,3380,,,,
3907,,,Indonesia,,#N/A,#N/A,"Baharu River, Kotabaru, S Kalimantan",News,03/04/2012,03/07/2012,4,5,0,,Torrential Rain,1,4597.04,4.26453827400011,116.093,-3.18435,News,0,6,1,17,03/04/2012,977,3379,,,,
3906,,FL-2012-000037-PSE,Gaza,,#N/A,#N/A,"Gaza Valley, Gaza Strip",News,03/04/2012,03/07/2012,4,0,1200,,Heavy Rain,1,594.251,3.37602991255547,34.4615,31.4583,News,0,6,0,16,03/04/2012,977,3378,,,,
3905,,,USA,,#N/A,#N/A,Oahu and Kauai,News,03/04/2012,03/07/2012,4,0,83,,Heavy Rain,1.5,2046.16,4.08909084085473,-159.53,22.0625,News,0,6,1,16,03/04/2012,977,3378,,,,
3904,,,Tunisia,,#N/A,#N/A,Northwestern region of Tunisia,News,02/25/2012,02/27/2012,3,3,1000,,Torrential Rain,1.5,41623.96,5.27255590931305,8.69862,35.1163,News,0,6,1,15,02/25/2012,977,3377,,,,
